,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Tuktoyaktuk,69.4541,-133.0374,66.2,42,20,18.41,CA,1623790216
1,Hithadhoo,-0.6,73.0833,82.83,73,73,6.69,MV,1623790216
2,Boende,-0.2167,20.8667,77.88,67,76,2.08,CD,1623790217
3,Gimli,50.6336,-96.9907,82.44,61,0,4.61,CA,1623790217
4,Nikolskoye,59.7035,30.7861,55.87,71,43,5.53,RU,1623790217
5,Benguela,-12.5763,13.4055,71.53,80,6,3.36,AO,1623790218
6,Punta Arenas,-53.15,-70.9167,42.91,75,0,16.11,CL,1623790218
7,Port Alfred,-33.5906,26.891,63.64,72,84,10.09,ZA,1623790216
8,Samarai,-10.6167,150.6667,80.26,81,81,13.29,PG,1623790218
9,Fortuna,40.5982,-124.1573,75.47,60,20,5.01,US,1623790219
10,Lev Tolstoy,53.2134,39.446,62.55,90,100,5.48,RU,1623790219
11,Bluff,-46.6,168.3333,46.8,91,100,12.01,NZ,1623790219
12,Krasnyy Chikoy,50.3643,108.7512,39.4,95,58,3.02,RU,1623790220
